Model,Brand,Processor,ModelNumber,OperatingSystem,RAM,Price
,Unbranded,No,For Apple iphone SE 2 [2020] For Apple iphone 11 For Apple iphone 11 PRO For Apple iphone 11 PRO MAX For Apple iphone X / XS For Apple iphone XS MAX For Apple iphone XR For Apple iphone 7 / For Apple iphone 8 For Apple iphone 7+ / For Apple iphone 8+ For Apple iphone 6 / For Apple iphone 6s iPhone 12,iOS,No,5.99
Apple iPhone 6s,Apple,Dual Core,A1633 (CDMA + GSM),iOS,2 GB,76.0
Apple iPhone 11 Pro Max,Apple,Hexa Core,A2160 (CDMA + GSM) A2161 (CDMA + GSM),iOS,4 GB,434.99
,Unbranded,No,For Apple iphone 11 For Apple iphone 11 PRO MAX For Apple iphone XS MAX For Apple iphone XR iPhone 12,iOS,No,5.99
Apple iPhone XS XSMax,Apple,Hexa Core,A1920 A1921(CDMA + GSM),iOS,4GB,234.99
NaN,NaN,NaN,NaN,NaN,NaN,
Apple iPhone XR,Apple,Hexa Core,A1984 (CDMA + GSM),iOS,3 GB,224.99
Apple iPhone 11,Apple,,,iOS,,265.0
Apple iPhone 4s,Apple,Dual Core,A1387 (CDMA + GSM),iOS,32GB,54.0
Apple iPhone 7 Plus,Apple,Quad Core,,iOS,3 GB,149.99
Apple iPhone 11,Apple,Hexa Core,A2111 (CDMA + GSM),iOS,4 GB,344.99
Apple iPhone XR,Apple,Hexa Core,A1984 (CDMA + GSM),iOS,3GB,
iphone 1st Generation,Apple,Single Core,,iOS,,94.0
Apple iPhone (1st Generation),Apple,Single Core,A1203 (GSM),iOS,8 GB,90.0
Apple iPhone 6s,Apple,Dual Core,,iOS,2 GB,79.8
Apple iPhone 11,Apple,Hexa Core,,iOS,,
Apple iPhone 14 Pro Max,Apple,Hexa Core,,iOS,,2050.0
Apple iPhone 11 Pro Max,Apple,Hexa Core,A2161 (CDMA + GSM),iOS,,
Apple iPhone 12 mini,Apple,Hexa Core,,iOS,,399.99
Apple iPhone 7 Plus,Apple,Quad Core,A1661 (CDMA + GSM),iOS,3 GB,
